SEGMENTO;TARIFARIO;DETALLE;SEMI;BALANCIN;CHASIS;UP 3500;UP 1500;PICKUP
OP BROKER MONSANTO;RANGO KM;01-50;$ 11.328;$ 0;$ 8.079;$ 0;$ 0;$ 6.401
OP BROKER MONSANTO;RANGO KM;51-100;$ 15.072;$ 0;$ 10.550;$ 0;$ 0;$ 8.440
OP BROKER MONSANTO;RANGO KM;101-150;$ 19.458;$ 0;$ 13.620;$ 0;$ 0;$ 10.896
OP BROKER MONSANTO;RANGO KM;151-200;$ 26.709;$ 0;$ 18.696;$ 0;$ 0;$ 14.957
OP BROKER MONSANTO;RANGO KM;201-250;$ 32.094;$ 0;$ 22.466;$ 0;$ 0;$ 17.973
OP BROKER MONSANTO;RANGO KM;251-300;$ 36.741;$ 0;$ 25.719;$ 0;$ 0;$ 20.575
OP BROKER MONSANTO;RANGO KM;301-350;$ 40.184;$ 0;$ 28.129;$ 0;$ 0;$ 22.503
OP BROKER MONSANTO;RANGO KM;351-400;$ 44.658;$ 0;$ 31.261;$ 0;$ 0;$ 25.008
OP BROKER MONSANTO;RANGO KM;401-450;$ 49.116;$ 0;$ 34.381;$ 0;$ 0;$ 27.505
OP BROKER MONSANTO;RANGO KM;451-500;$ 53.116;$ 0;$ 37.366;$ 0;$ 0;$ 29.893
OP BROKER MONSANTO;RANGO KM;501-550;$ 57.510;$ 0;$ 41.003;$ 0;$ 0;$ 32.802
OP BROKER MONSANTO;RANGO KM;551-600;$ 62.015;$ 0;$ 44.770;$ 0;$ 0;$ 35.816
OP BROKER MONSANTO;RANGO KM;601-650;$ 66.468;$ 0;$ 48.501;$ 0;$ 0;$ 38.801
OP BROKER MONSANTO;RANGO KM;651-700;$ 70.591;$ 0;$ 51.964;$ 0;$ 0;$ 41.571
OP BROKER MONSANTO;RANGO KM;701-750;$ 75.336;$ 0;$ 55.859;$ 0;$ 0;$ 44.687
OP BROKER MONSANTO;RANGO KM;751-800;$ 79.917;$ 0;$ 59.647;$ 0;$ 0;$ 47.717
OP BROKER MONSANTO;RANGO KM;801-850;$ 84.709;$ 0;$ 63.649;$ 0;$ 0;$ 50.919
OP BROKER MONSANTO;RANGO KM;851-900;$ 89.376;$ 0;$ 67.545;$ 0;$ 0;$ 54.036
OP BROKER MONSANTO;RANGO KM;901-950;$ 94.141;$ 0;$ 71.440;$ 0;$ 0;$ 57.152
OP BROKER MONSANTO;RANGO KM;951-1000;$ 98.856;$ 0;$ 75.336;$ 0;$ 0;$ 60.268
OP BROKER MONSANTO;RANGO KM;1001-1050;$ 103.425;$ 0;$ 79.159;$ 0;$ 0;$ 63.327
OP BROKER MONSANTO;RANGO KM;1051-1100;$ 108.128;$ 0;$ 83.048;$ 0;$ 0;$ 66.438
OP BROKER MONSANTO;RANGO KM;1101-1150;$ 112.831;$ 0;$ 86.936;$ 0;$ 0;$ 69.549
OP BROKER MONSANTO;RANGO KM;1151-1200;$ 117.534;$ 0;$ 90.824;$ 0;$ 0;$ 72.659
OP BROKER MONSANTO;RANGO KM;1201-1250;$ 122.237;$ 0;$ 94.713;$ 0;$ 0;$ 75.770
OP BROKER MONSANTO;RANGO KM;1251-1300;$ 126.940;$ 0;$ 98.601;$ 0;$ 0;$ 78.881
OP BROKER MONSANTO;RANGO KM;1301-1350;$ 131.531;$ 0;$ 102.402;$ 0;$ 0;$ 81.922
OP BROKER MONSANTO;RANGO KM;1351-1400;$ 136.230;$ 0;$ 106.287;$ 0;$ 0;$ 85.030
OP BROKER MONSANTO;RANGO KM;1401-1450;$ 140.930;$ 0;$ 110.172;$ 0;$ 0;$ 88.138
OP BROKER MONSANTO;RANGO KM;1451-1500;$ 145.628;$ 0;$ 114.057;$ 0;$ 0;$ 91.246
OP BROKER MONSANTO;RANGO KM;1501-1550;$ 150.223;$ 0;$ 117.895;$ 0;$ 0;$ 94.316
OP BROKER MONSANTO;RANGO KM;1551-1600;$ 154.895;$ 0;$ 121.758;$ 0;$ 0;$ 97.407
OP BROKER MONSANTO;RANGO KM;1601-1650;$ 159.568;$ 0;$ 125.621;$ 0;$ 0;$ 100.497
OP BROKER MONSANTO;RANGO KM;1651-1700;$ 164.240;$ 0;$ 129.484;$ 0;$ 0;$ 103.587
OP BROKER MONSANTO;RANGO KM;1701-1750;$ 168.913;$ 0;$ 133.348;$ 0;$ 0;$ 106.678
OP BROKER MONSANTO;RANGO KM;1751-1800;$ 173.585;$ 0;$ 137.211;$ 0;$ 0;$ 109.769
OP BROKER MONSANTO;RANGO KM;1801-1850;$ 178.258;$ 0;$ 141.074;$ 0;$ 0;$ 112.859
OP BROKER MONSANTO;RANGO KM;1851-1900;$ 182.930;$ 0;$ 144.937;$ 0;$ 0;$ 115.950
OP BROKER MONSANTO;RANGO KM;1901-1950;$ 187.603;$ 0;$ 148.800;$ 0;$ 0;$ 119.040
OP BROKER MONSANTO;RANGO KM;1951-2000;$ 192.275;$ 0;$ 152.663;$ 0;$ 0;$ 122.131
OP BROKER MONSANTO;RANGO KM;2001-2050;$ 197.033;$ 0;$ 156.537;$ 0;$ 0;$ 125.229
OP BROKER MONSANTO;RANGO KM;2051-2100;$ 201.898;$ 0;$ 160.402;$ 0;$ 0;$ 128.321
OP BROKER MONSANTO;RANGO KM;2101-2150;$ 206.763;$ 0;$ 164.267;$ 0;$ 0;$ 131.413
OP BROKER MONSANTO;RANGO KM;2151-2200;$ 211.628;$ 0;$ 168.132;$ 0;$ 0;$ 134.506
OP BROKER MONSANTO;RANGO KM;2201-2250;$ 216.493;$ 0;$ 171.997;$ 0;$ 0;$ 137.598
OP BROKER MONSANTO;RANGO KM;2251-2300;$ 221.358;$ 0;$ 175.862;$ 0;$ 0;$ 140.690
OP BROKER MONSANTO;RANGO KM;2301-2350;$ 226.223;$ 0;$ 179.727;$ 0;$ 0;$ 143.782
OP BROKER MONSANTO;RANGO KM;2351-2400;$ 231.088;$ 0;$ 183.592;$ 0;$ 0;$ 146.874
OP BROKER MONSANTO;RANGO KM;2401-2450;$ 235.953;$ 0;$ 187.457;$ 0;$ 0;$ 149.966
OP BROKER MONSANTO;RANGO KM;2451-2500;$ 240.818;$ 0;$ 191.322;$ 0;$ 0;$ 153.058
OP BROKER MONSANTO;RANGO KM;2501-2550;$ 245.683;$ 0;$ 195.188;$ 0;$ 0;$ 156.150
OP BROKER MONSANTO;RANGO KM;2551-2600;$ 250.548;$ 0;$ 199.053;$ 0;$ 0;$ 159.242
OP BROKER MONSANTO;RANGO KM;2601-2650;$ 255.413;$ 0;$ 202.918;$ 0;$ 0;$ 162.334
OP BROKER MONSANTO;RANGO KM;2651-2700;$ 260.278;$ 0;$ 206.783;$ 0;$ 0;$ 165.426
OP BROKER MONSANTO;RANGO KM;2701-2750;$ 265.143;$ 0;$ 210.648;$ 0;$ 0;$ 168.518
OP BROKER MONSANTO;RANGO KM;2751-2800;$ 270.008;$ 0;$ 214.513;$ 0;$ 0;$ 171.610
OP BROKER MONSANTO;RANGO KM;2801-2850;$ 274.873;$ 0;$ 218.378;$ 0;$ 0;$ 174.703
OP BROKER MONSANTO;RANGO KM;2851-2900;$ 279.738;$ 0;$ 222.243;$ 0;$ 0;$ 177.795
OP BROKER MONSANTO;RANGO KM;2901-2950;$ 284.603;$ 0;$ 226.108;$ 0;$ 0;$ 180.887
OP BROKER MONSANTO;RANGO KM;2951-3000;$ 289.468;$ 0;$ 229.974;$ 0;$ 0;$ 183.979
OP RESTO;CLIENTE SYNGENTA Salida Puerto BS AS;BS AS a Rosario (con retorno);$ 35.006;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;CLIENTE SYNGENTA Salida Puerto BS AS;BS AS a Casilda (con retorno);$ 38.307;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;CLIENTE SYNGENTA Salida Puerto BS AS;BS AS a Venado Tuerto (con retorno);$ 38.307;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;CLIENTE SYNGENTA Salida Puerto BS AS (Vacio de Zte);Puerto BS AS a Carlos Spegazzini (Vacio de Zte);$ 20.265;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;CLIENTE SYNGENTA Salida Puerto BS AS;BS AS a Carlos Spegazzini (con retorno);$ 12.228;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;CLIENTE SYNGENTA Salida Puerto BS AS;BS AS a Florencio Varela (con retorno);$ 12.228;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;CLIENTE SYNGENTA Salida Puerto BS AS;Directo - Zarate a Capital por Km;$ 13.857;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;CLIENTE SYNGENTA Salida Puerto BS AS;Directo - Dock Sud a Capital por Km;$ 13.857;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;CLIENTE PAMPA ENERGIA;PLANTA P.ENERGIA A CD ZARCAM;$ 5.619;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;CLIENTE BASF;AR001 - Bs. As. Cap. Fed. & Gran Bs. A.s;$ 0;$ 0;$ 15.742;$ 14.133;$ 12.751;$ 0
OP RESTO;CLIENTE BASF;AR001A -  Buenos Aires Oeste;$ 0;$ 0;$ 19.385;$ 17.406;$ 15.702;$ 0
OP RESTO;CLIENTE BASF;AR001B - Bs. As. Gran Bs. As. extendido;$ 0;$ 0;$ 12.318;$ 11.059;$ 9.974;$ 0
OP RESTO;CLIENTE BASF;AR002 - Buenos Aires Sur (Bahia Blanca);$ 0;$ 0;$ 34.635;$ 31.103;$ 28.055;$ 0
OP RESTO;CLIENTE BASF;AR003 - Buenos Aires Sur-Este;$ 0;$ 0;$ 34.635;$ 31.103;$ 28.055;$ 0
OP RESTO;CLIENTE BASF;AR004 - Catamarca;$ 0;$ 0;$ 43.295;$ 38.880;$ 35.068;$ 0
OP RESTO;CLIENTE BASF;AR005 - Chaco;$ 0;$ 0;$ 45.127;$ 40.524;$ 36.551;$ 0
OP RESTO;CLIENTE BASF;AR006 - Chubut;$ 0;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;CLIENTE BASF;AR007 - Cordoba Centro;$ 0;$ 0;$ 27.757;$ 24.930;$ 22.486;$ 0
OP RESTO;CLIENTE BASF;AR008 - Cordoba Sur;$ 0;$ 0;$ 19.983;$ 17.948;$ 16.190;$ 0
OP RESTO;CLIENTE BASF;AR009 - Entre Rios Norte;$ 0;$ 0;$ 16.230;$ 14.576;$ 13.149;$ 0
OP RESTO;CLIENTE BASF;AR009A - Entre Rios Sur;$ 0;$ 0;$ 16.230;$ 14.576;$ 13.149;$ 0
OP RESTO;CLIENTE BASF;AR010 - La Pampa;$ 0;$ 0;$ 42.743;$ 38.384;$ 34.620;$ 0
OP RESTO;CLIENTE BASF;AR011 - Mendoza;$ 0;$ 0;$ 47.382;$ 42.550;$ 38.378;$ 0
OP RESTO;CLIENTE BASF;AR012 - Misiones;$ 0;$ 0;$ 49.701;$ 44.636;$ 40.259;$ 0
OP RESTO;CLIENTE BASF;AR013 -  Neuquen;$ 0;$ 0;$ 74.328;$ 66.751;$ 60.207;$ 0
OP RESTO;CLIENTE BASF;AR014 - Río Negro;$ 0;$ 0;$ 62.129;$ 55.796;$ 50.323;$ 0
OP RESTO;CLIENTE BASF;AR015 - Rosario;$ 0;$ 0;$ 10.874;$ 9.768;$ 8.809;$ 0
OP RESTO;CLIENTE BASF;AR016 - Salta / Jujuy;$ 0;$ 0;$ 55.972;$ 50.263;$ 45.336;$ 0
OP RESTO;CLIENTE BASF;AR017 - San Juan;$ 0;$ 0;$ 62.129;$ 55.796;$ 50.323;$ 0
OP RESTO;CLIENTE BASF;AR018 - San Luis;$ 0;$ 0;$ 34.192;$ 30.706;$ 27.697;$ 0
OP RESTO;CLIENTE BASF;AR019 -  Santa Cruz;$ 0;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;CLIENTE BASF;AR020 - Santa Fé;$ 0;$ 0;$ 23.078;$ 20.724;$ 18.693;$ 0
OP RESTO;CLIENTE BASF;AR020A -  Santa Fé Sur;$ 0;$ 0;$ 10.874;$ 9.768;$ 8.809;$ 0
OP RESTO;CLIENTE BASF;AR021 -  Santiago del Estero;$ 0;$ 0;$ 34.635;$ 31.103;$ 28.055;$ 0
OP RESTO;CLIENTE BASF;AR022 - Tierra Del Fuego;$ 0;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;CLIENTE BASF;AR023 - Tucuman;$ 0;$ 0;$ 47.382;$ 42.550;$ 38.378;$ 0
OP RESTO;CLIENTE BASF;AR024 -  Corrientes;$ 0;$ 0;$ 47.382;$ 42.550;$ 38.378;$ 0
OP RESTO;CLIENTE BASF;Desvio por destino (a partir del 3er dest);$ 0;$ 0;$ 745;$ 701;$ 475;$ 0
OP RESTO;ddd;Gral Pico a Cardales;$ 18.750;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;TRANSPORTE ANAN;0/50 KMS;$ 6.902;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;TRANSPORTE ANAN;50/100 KMS;$ 10.261;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;TRANSPORTE ANAN;101/150 KMS;$ 12.842;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;TRANSPORTE ANAN;151/200 KMS;$ 16.482;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;TRANSPORTE ANAN;201/250 KMS;$ 19.714;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;TRANSPORTE ANAN;251/300 KMS;$ 22.888;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;TRANSPORTE ANAN;301/350 KMS;$ 25.323;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;TRANSPORTE ANAN;351/400 KMS;$ 28.981;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;TRANSPORTE ANAN;401/500 KMS;$ 32.064;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;TRANSPORTE ANAN;501/600 KMS;$ 37.783;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;TRANSPORTE ANAN;601/700 KMS;$ 42.527;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;TRANSPORTE ANAN;701/800 KMS;$ 47.858;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;TRANSPORTE ANAN;801/900 KMS;$ 54.797;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;TRANSPORTE ANAN;901/1000 KMS;$ 60.093;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;TRANSPORTE ANAN;1001/1100 KMS;$ 61.954;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;TRANSPORTE ANAN;1101/1200 KMS;$ 67.441;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;TRANSPORTE ANAN;1201/1300 KMS;$ 72.146;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;TRANSPORTE ANAN;1301/1400 KMS;$ 74.109;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;TRANSPORTE ANAN;1401/1500 KMS;$ 80.306;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;TRANSPORTE ANAN;1501/1600 KMS;$ 85.171;$ 0;$ 0;$ 0;$ 0;$ 0
